category,serial,title,composer,arranger,lyrics,translator,language,voicing,with_boys,accompanied,instruments,music_present,original_piece,recording_link,comments
ג,42,Standchen,Franz Schubert,אנונימי, Ludwig Rellstab,,גרמנית,SSA,FALSE,Obligato,פסנתר,FALSE,FALSE,,
ג,43,sebben crudele ,Antonio Caldara,?,אנונימי,,איטלקית,SA,FALSE,Obligato,פסנתר,TRUE,FALSE,,
ג,44,in dulci Jubilo,Dieterich Buxtehude,,Heinrich Suso,,גרמנית & לטינית,SAB,TRUE,Obligato,פסנתר,TRUE,FALSE,,
ג,45,"Jerusalem, die du todtest ",Christoph Bernhard,,"הבשורה עפ""י מתי",,גרמנית,SAB,TRUE,Obligato,באסו קונטינואו,TRUE,FALSE,,
ג,46,Jesus bleibet meine freude (147),Johann Sebastian Bach,,Martin Janus,,גרמנית,SATB,TRUE,Obligato,"באסו קונטינואו, כינור  כינור צ'לו",TRUE,FALSE,,
ג,47,Nigra Sum,Pablo Casals,,שירים השירים,,לטינית,SA,FALSE,Obligato,פסנתר,TRUE,FALSE,,
ג,48,al canto del cucu,אנונימי,Hermann Wunsch,אנונימי,,איטלקית,SSA,FALSE,None,,TRUE,FALSE,,שיר עם מקנטון Ticino שוויץ.
ג,49,מתוך הנזל וגרטל,Engelbert Humperdinck,Bryceson Teharne,Adelheid Wette,"Constance Bache, Willis Wager",אנגלית,SSA,FALSE,Obligato,פסנתר,TRUE,FALSE,,
ג,50,Lacrimoso,Wolfgang Amadeus Mozart,,,,איטלקית,Canon,FALSE,None,,TRUE,FALSE,,
ג,51,Romancero de Ninos,Camilo Matta,,Antonio Esteban Aguero,,ספרדית,SSA,FALSE,Optional,"כלי הרמוני,קלאווס",TRUE,FALSE,,
ג,52,psalm 23,Franz Schubert,,תהילים,Moses Mendelssohn,גרמנית,SSAA,FALSE,Obligato,פסנתר,FALSE,FALSE,,
ג,53,plorate filii Israel,Giacomo Carissimi,,שופטים,,לטינית,SSAATB ,TRUE,Obligato,באסו קונטינואו,FALSE,FALSE,,
ד,1,נדודים - עיברית,Bela Bartok,,אנונימי,יוסף אחאי,עיברית,SSA,FALSE,None ,,TRUE,FALSE,,
ד,2,old black joe,Stephen Collins Foster,אנונימי,Stephen Collins Foster,עליזה וקסמן,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
ד,3,רועה צעיר אני,אנונימי,פ. נוימאיר,אנונימי,יוסף אחאי,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
ד,4,ספינה צפה,ס. פלמגרין,,,,,SSA,FALSE,,,,FALSE,,
ד,5,listen to the lambs,אנונימי,,אנונימי,,,SSA,FALSE,,,,FALSE,,
ד,6,שיר אהבה ברטוני,אנונימי,דניאל לזיר,אנונימי,יהודה שרת,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
ד,7,soon i will be done,אנונימי,א. דניאל,אנונימי,,,SSA,FALSE,,,,FALSE,,
ד,8,הבטלן - עיברית,Bela Bartok,,אנונימי,אפרים דרור,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
ד,9,סירה (סימפטית),Aulis Sallinen,,"Markus Sallinen, Taneli Sallinen",עדה ברודסקי,עיברית / פינית,SSAA,FALSE,None,,TRUE,FALSE,,
ד,10,טיול ביער,ה. סמרמה,,א. הלקוסקי / מ. שביט,,,SSA,FALSE,,,,FALSE,,
ד,11,סוסי הצחור,אנונימי ,ר. קלמל,אנונימי / מ.שביט,,,SSA,FALSE,,,,FALSE,,
ד,12,Horch was kommt von draussen rein,אנונימי,אנונימי,אנונימי,,גרמנית,SSA,FALSE,None,,TRUE,FALSE,,"שיר עם מחבל שווביה, אין פרטים על הגרסא."
ד,13,im Wald im hellen Sonnenschein,Ernst Lothar von Knorr,,Emanuel von Geibel,,גרמנית,SSA,FALSE,None,,TRUE,FALSE,,
ד,14,מחול שוודי,אנונימי,פ. אוברבק,אנונימי,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,במקור שיר עם שוודי. אין למצוא את פ. אוברבק
ד,15,Hymn to freedom,Oscar Peterson,Seppo Hovi,Harriette Hamilton,,אנגלית,SSA,FALSE,Obligato,פסנתר,TRUE,FALSE,,
